file,locatie,external_id,x_coord,y_coord,ground_elev,top_filter,bottom_filter
B39H0388002_1021_39H-0388002.csv,B39H0388,39H-0388002,178624.94,437431.23,745.6,-63.4,-263.4
B39H3454001_1034_39H-3454001.csv,B39H3454,39H-3454001,177978.59,437047.87,785.0,638.0,538.0
B39H3454002_1034_39H-3454002.csv,B39H3454,39H-3454002,177978.59,437047.87,785.0,387.0,287.0
B39H3455001_1034_39H-3455001.csv,B39H3455,39H-3455001,178463.26,436636.04,768.0,620.0,520.0
B39H3456001_1031_39H-3456001.csv,B39H3456,39H-3456001,177115.09,437345.89,803.0,600.0,500.0
B39H3456002_1031_39H-3456002.csv,B39H3456,39H-3456002,177115.09,437345.89,803.0,399.0,299.0
B39H3457001_1034_39H-3457001.csv,B39H3457,39H-3457001,177276.0,436111.0,800.0,636.0,536.0
B39H3457002_1034_39H-3457002.csv,B39H3457,39H-3457002,177276.0,436111.0,800.0,305.0,205.0
B39H3458001_1034_39H-3458001.csv,B39H3458,39H-3458001,178506.0,435742.0,775.0,574.0,474.0
B39H3459001_1034_39H-3459001.csv,B39H3459,39H-3459001,179524.0,435658.0,782.0,631.0,531.0
B39H3460001_1034_39H-3460001.csv,B39H3460,39H-3460001,179497.0,434758.0,814.0,614.0,514.0
B39H3461001_1031_39H-3461001.csv,B39H3461,39H-3461001,177853.12,437292.0,782.7,752.7,652.7
B39H3461002_1031_39H-3461002.csv,B39H3461,39H-3461002,177853.12,437292.0,782.7,332.7,232.7
B39H3484001_1036_39H-3484001.csv,B39H3484,39H-3484001,173364.0,435516.0,744.0,579.0,479.0
B39H3485001_1036_39H-3485001.csv,B39H3485,39H-3485001,173348.0,435780.0,757.0,620.0,520.0
B39H3485002_1036_39H-3485002.csv,B39H3485,39H-3485002,173348.0,435780.0,757.0,424.0,324.0
B39H3486001_1036_39H-3486001.csv,B39H3486,39H-3486001,173854.29,435996.83,723.0,532.0,432.0
B39H3487001_1031_39H-3487001.csv,B39H3487,39H-3487001,173672.36,436439.42,666.0,460.0,360.0
B39H3488001_1031_39H-3488001.csv,B39H3488,39H-3488001,173171.64,436766.04,690.0,563.0,463.0
B39H3488002_1031_39H-3488002.csv,B39H3488,39H-3488002,173171.64,436766.04,690.0,456.0,356.0
B39H3489001_1036_39H-3489001.csv,B39H3489,39H-3489001,173087.34,436095.09,701.0,558.0,458.0
B39H3489002_1036_39H-3489002.csv,B39H3489,39H-3489002,173087.34,436095.09,701.0,312.0,212.0
B40A0214001_1020_40AP0214001.csv,B40A0214,40AP0214001,183530.0,439710.0,800.0,-1910.0,-2010.0
B40A0214002_1020_40AP0214002.csv,B40A0214,40AP0214002,183530.0,439710.0,800.0,-3810.0,-3910.0
B40A0215001_1020_40AP0215001.csv,B40A0215,40AP0215001,183480.0,439810.0,815.0,-1885.0,-1985.0
B40A0219001_1020_40AP0219001.csv,B40A0219,40AP0219001,183639.0,439683.0,774.0,-1626.0,-1726.0
B40A0314001_1020_40AP0314001.csv,B40A0314,40AP0314001,182722.55,439346.5,832.0,432.0,332.0
B40A0400001_1020_40AP0400001.csv,B40A0400,40AP0400001,183258.0,439652.0,800.0,300.0,100.0
B40A0400002_1020_40AP0400-2.csv,B40A0400,40AP0400-2,183258.0,439652.0,800.0,-1200.0,-1400.0
